26.0, 44.0, 1008.4, 52.027631, 5.526631
25.9, 43.8, 1008.4, 52.027505, 5.527023
25.8, 43.5, 1008.3, 52.027602, 5.527328
26.1, 43.0, 1008.2, 52.027602, 5.527328
26.3, 42.8, 1008.1, 52.027486, 5.528119
25.8, 43.1, 1008.1, 52.028135, 5.528413
25.3, 43.7, 1008.0, 52.027912, 5.529757
24.9, 44.2, 1007.9, 52.027702, 5.530449
23.6, 44.6, 1007.8, 52.027602, 5.531047
22.0, 44.9, 1007.7, 52.028028, 5.531441
20.6, 46.1, 1007.8, 52.028323, 5.531723
18.8, 46.8, 1007.8, 52.028581, 5.531766
18.1, 47.5, 1007.9, 52.028681, 5.532107
17.6, 48.9, 1007.9, 52.028728, 5.532189
17.3, 50.1, 1007.8, 52.028739, 5.532273
17.1, 50.4, 1007.9, 52.028728, 5.532432
16.9, 50.6, 1008.0, 52.028766, 5.532589
16.9, 50.7, 1008.1, 52.028819, 5.532586
16.8, 50.8, 1008.2, 52.028747, 5.532363
